C3:0.966087469
C7:0.995934515
C15:0.95691772
C9:0.992204881
C10:0.985544071
C11:0.973496063
C4:0.971320737
C2:0.907190596
C18:0.998673565
C19:0.999457369
C12:0.968179319
C9:0.932420904
C3:0.985364725
C18:0.979205206
C17:0.92938838
C17:0.954820406
C19:0.945160423
C22:0.974721322
C7:0.947260391
C13:0.990930047
C4:0.918432022
C9:0.998779643
C5:0.993216757
C3:0.951111187
C20:0.996885953
C13:0.949516133
C7:0.968019808
C18:0.978316852
C20:0.994152421
C1:0.990593416
C12:0.910949772
C15:0.952328693
C6:0.944812352
